pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f
MMR222,Shan,MMR014D001,Taunggyi,MMR014008,Lawksawk,34107,28490,5617
MMR222,Shan,MMR014D001,Taunggyi,MMR014009,Pinlaung,42083,34912,7171
MMR222,Shan,MMR014D001,Taunggyi,MMR014010,Pekon,20084,17381,2703
MMR222,Shan,MMR014D002,Loilen,MMR014011,Loilen,25417,18899,6518
MMR222,Shan,MMR014D002,Loilen,MMR014012,Laihka,8790,6610,2180
MMR222,Shan,MMR014D002,Loilen,MMR014013,Nansang,23227,18097,5130
MMR222,Shan,MMR014D002,Loilen,MMR014014,Kunhing,11137,9250,1887
MMR222,Shan,MMR014D002,Loilen,MMR014015,Kyethi,14712,11445,3267
MMR222,Shan,MMR014D002,Loilen,MMR014016,Mongkaing,16332,12980,3352
MMR222,Shan,MMR014D002,Loilen,MMR014017,Monghsu,15867,13115,2752
MMR222,Shan,MMR014D003,Langkho,MMR014018,Langkho,9548,7123,2425
MMR222,Shan,MMR014D003,Langkho,MMR014019,Mongnai,8485,6552,1933
MMR222,Shan,MMR014D003,Langkho,MMR014020,Mawkmai,7194,5883,1311
MMR222,Shan,MMR014D003,Langkho,MMR014021,Mongpan,5421,4342,1079
MMR222,Shan,MMR015D001,Lashio,MMR015001,Lashio,64932,40330,24602
MMR222,Shan,MMR015D001,Lashio,MMR015002,Hseni,11779,9022,2757
MMR222,Shan,MMR015D001,Lashio,MMR015003,Mongyai,13328,9389,3939
MMR222,Shan,MMR015D001,Lashio,MMR015004,Tangyan,35142,25655,9487
MMR222,Shan,MMR015D002,Muse,MMR015009,Muse,32758,25393,7365
MMR222,Shan,MMR015D002,Muse,MMR015010,Namhkan,21417,15235,6182
MMR222,Shan,MMR015D002,Muse,MMR015011,Kutkai,32080,23951,8129
MMR222,Shan,MMR015D003,Kyaukme,MMR015012,Kyaukme,38256,27508,10748
MMR222,Shan,MMR015D003,Kyaukme,MMR015013,Nawnghkio,32224,26159,6065
MMR222,Shan,MMR015D003,Kyaukme,MMR015014,Hsipaw,37906,29946,7960
MMR222,Shan,MMR015D003,Kyaukme,MMR015015,Namtu,11641,8445,3196
MMR222,Shan,MMR015D003,Kyaukme,MMR015016,Namhsan,13685,9813,3872
MMR222,Shan,MMR015D003,Kyaukme,MMR015017,Mongmit,13652,8893,4759
MMR222,Shan,MMR015D003,Kyaukme,MMR015018,Mabein,8632,6983,1649
MMR222,Shan,MMR015D003,Kyaukme,MMR015019,Manton,7683,5860,1823
MMR222,Shan,MMR015D004,Kunlong,MMR015020,Kunlong,10392,8866,1526
MMR222,Shan,MMR015D005,Laukkaing,MMR015022,Laukkaing,15181,12761,2420
