pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,usuact_10ab_t,usuact_10ab_govemp_t,usuact_10ab_priemp_t,usuact_10ab_empyr_t,usuact_10ab_ownacc_t,usuact_10ab_unpfam_t,usuact_10ab_seekw_t,usuact_10ab_nseekw_t,usuact_10ab_stu_t,usuact_10ab_hhwork_t,usuact_10ab_retir_t,usuact_10ab_ill_t,usuact_10ab_oth_t
MMR111,Bago,MMR007D002,Taungoo,MMR007009,Taungoo,215130,12014,39496,4430,38183,10596,4601,710,32942,46380,13459,1598,10721
MMR111,Bago,MMR007D002,Taungoo,MMR007010,Yedashe,170558,7727,27857,4271,37170,14755,3161,496,22049,34290,8565,1418,8799
MMR111,Bago,MMR007D002,Taungoo,MMR007011,Kyaukkyi,86571,2444,13213,1811,16511,7757,2786,321,13931,18752,5520,987,2538
MMR111,Bago,MMR007D002,Taungoo,MMR007012,Phyu,204488,4993,34317,6910,33777,19400,4203,819,30539,43728,12157,1849,11796
MMR111,Bago,MMR007D002,Taungoo,MMR007013,Oktwin,127430,3673,28171,5871,21936,11431,2878,374,15833,23948,6110,1199,6006
MMR111,Bago,MMR007D002,Taungoo,MMR007014,Htantabin,92639,1837,20330,4801,12443,9158,2274,207,13883,18639,4767,695,3605
MMR111,Bago,MMR008D001,Pyay,MMR008001,Pyay,218854,10782,37970,4674,44337,12441,4753,918,27752,46171,15125,1435,12496
MMR111,Bago,MMR008D001,Pyay,MMR008002,Paukkhaung,105893,2583,12904,2085,26558,15453,1739,284,9306,24651,6488,561,3281
MMR111,Bago,MMR008D001,Pyay,MMR008003,Padaung,123082,13199,11773,1621,28033,11191,2502,280,13444,24213,9082,874,6870
MMR111,Bago,MMR008D001,Pyay,MMR008004,Paungde,118799,2384,20687,3336,26072,12429,2156,262,9872,26122,8262,849,6368
MMR111,Bago,MMR008D001,Pyay,MMR008005,Thegon,114583,3566,15077,2878,28862,12919,1686,158,9978,22942,7647,731,8139
MMR111,Bago,MMR008D001,Pyay,MMR008006,Shwedaung,105178,5128,17531,3828,21799,8803,2284,232,10022,21803,7175,860,5713
MMR111,Bago,MMR008D002,Thayarwady,MMR008007,Thayarwady,123267,3964,22856,5958,19096,7739,4416,444,13826,32552,7854,988,3574
MMR111,Bago,MMR008D002,Thayarwady,MMR008008,Letpadan,143641,2994,25045,9812,19162,8636,4815,547,18239,37329,8033,994,8035
MMR111,Bago,MMR008D002,Thayarwady,MMR008009,Minhla,101537,2284,19993,4996,15943,5699,2412,276,10800,28191,6368,741,3834
MMR111,Bago,MMR008D002,Thayarwady,MMR008010,Okpho,105852,2244,18941,3765,17774,5458,3834,462,11387,31171,7016,769,3031
MMR111,Bago,MMR008D002,Thayarwady,MMR008011,Zigon,57741,1578,8915,2403,9605,2136,2348,253,5135,18004,3917,409,3038
MMR111,Bago,MMR008D002,Thayarwady,MMR008012,Nattalin,147738,2744,18465,9553,22928,8666,8120,545,12398,43797,9882,872,9768
MMR111,Bago,MMR008D002,Thayarwady,MMR008013,Monyo,105952,1856,17165,6575,20943,11774,4112,240,11792,21174,6624,722,2975
MMR111,Bago,MMR008D002,Thayarwady,MMR008014,Gyobingauk,100857,2520,14063,6150,13824,5331,6104,202,9450,30079,6497,653,5984
MMR009,Magway,MMR009D001,Magway,MMR009001,Magway,240628,12633,50652,7793,40962,20532,3776,618,33114,43494,15365,1744,9945
MMR009,Magway,MMR009D001,Magway,MMR009002,Yenangyaung,110988,4068,16287,3323,19913,10738,2790,366,17618,22885,9195,1139,2666
MMR009,Magway,MMR009D001,Magway,MMR009003,Chauk,153988,6262,22017,3390,28443,11816,4164,363,23239,33707,11632,1125,7830
