pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,popdisab_notdisab_t,popdisab_anydiab_t,disabtype_see_t,disabtype_hear_t,disabtype_walk_t,disabtype_rmbr_t,popdisab_notdisab_m,popdisab_anydiab_m,disabtype_see_m,disabtype_hear_m,disabtype_walk_m,disabtype_rmbr_m,popdisab_notdisab_f,popdisab_anydiab_f,disabtype_see_f,disabtype_hear_f,disabtype_walk_f,disabtype_rmbr_f
MMR005,Sagaing,MMR005D004,Katha,MMR005026,Pinlebu,21900,14545,7355,109289,2679,108625,3343,1226,1123,1347,1265,50992,1401,462,447,534,529,57633,1942,764,676,813,736
MMR005,Sagaing,MMR005D005,Kale,MMR005027,Kale,72769,54409,18360,339302,9271,337455,11118,4437,4016,4032,4229,162276,5282,1890,1877,1966,1941,175179,5836,2547,2139,2066,2288
MMR005,Sagaing,MMR005D005,Kale,MMR005028,Kalewa,11735,9101,2634,54744,1688,55132,1300,476,405,494,473,27121,594,206,182,218,223,28011,706,270,223,276,250
MMR005,Sagaing,MMR005D005,Kale,MMR005029,Mingin,22058,17036,5022,102299,2064,101366,2997,1115,933,1188,1067,48770,1401,479,417,556,483,52596,1596,636,516,632,584
MMR005,Sagaing,MMR005D006,Tamu,MMR005030,Tamu,22591,17913,4678,111986,2883,110308,4561,2300,1521,1449,1518,54825,2182,1043,697,691,691,55483,2379,1257,824,758,827
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005031,Mawlaik,10345,7911,2434,49782,1532,49231,2083,958,590,761,761,24074,981,418,261,360,351,25157,1102,540,329,401,410
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005032,Paungbyin,20246,15528,4718,110354,2340,109888,2806,1243,912,1037,931,52628,1241,492,387,455,401,57260,1565,751,525,582,530
MMR005,Sagaing,MMR005D008,Hkamti,MMR005033,Hkamti,7361,5646,1715,37049,10609,45254,2404,1187,840,786,729,25728,1188,581,416,377,322,19526,1216,606,424,409,407
MMR005,Sagaing,MMR005D008,Hkamti,MMR005034,Homalin,35743,26614,9129,198477,59729,252363,5843,2531,1875,2123,2137,131119,2631,979,813,992,989,121244,3212,1552,1062,1131,1148
MMR005,Sagaing,MMR005D008,Hkamti,MMR005035,Lay Shi,1966,1590,376,9742,749,9576,915,475,380,322,333,4698,506,255,212,162,165,4878,409,220,168,160,168
